t, e, s
3.745490981963927896e-03,3.000000000000000000e+00,5.858255836629099100e+00
3.759519038076152269e-03,3.000000000000000000e+00,5.860230350034356661e+00
3.773547094188376642e-03,3.000000000000000000e+00,5.862177358228148449e+00
3.787575150300601014e-03,3.000000000000000000e+00,5.864097244361409444e+00
3.801603206412825821e-03,3.000000000000000000e+00,5.865990386247736055e+00
3.815631262525050194e-03,3.000000000000000000e+00,5.867857156437736421e+00
3.829659318637274566e-03,3.000000000000000000e+00,5.869697922292338887e+00
3.843687374749498939e-03,3.000000000000000000e+00,5.871513046055095941e+00
3.857715430861723312e-03,3.000000000000000000e+00,5.873302884923459644e+00
3.871743486973948118e-03,3.000000000000000000e+00,5.875067791119079175e+00
3.885771543086172491e-03,3.000000000000000000e+00,5.876808111957110725e+00
3.899799599198396863e-03,3.000000000000000000e+00,5.878524189914571707e+00
3.913827655310621670e-03,3.000000000000000000e+00,5.880216362697733068e+00
3.927855711422846043e-03,3.000000000000000000e+00,5.881884963308574577e+00
3.941883767535070415e-03,3.000000000000000000e+00,5.883530320110316403e+00
3.955911823647294788e-03,3.000000000000000000e+00,5.885152756892043868e+00
3.969939879759519161e-03,3.000000000000000000e+00,5.886752592932419148e+00
3.983967935871743533e-03,3.000000000000000000e+00,5.888330143062512789e+00
3.997995991983967906e-03,3.000000000000000000e+00,5.889885717727758596e+00
4.012024048096192279e-03,3.000000000000000000e+00,5.891419623049051424e+00
4.026052104208416652e-03,3.000000000000000000e+00,5.892932160882983439e+00
4.040080160320641024e-03,3.000000000000000000e+00,5.894423628881249044e+00
4.054108216432865397e-03,3.000000000000000000e+00,5.895894320549214029e+00
4.068136272545089770e-03,3.000000000000000000e+00,5.897344525303684470e+00
4.082164328657315010e-03,3.000000000000000000e+00,5.898774528529853178e+00
4.096192384769539382e-03,3.000000000000000000e+00,5.900184611637460996e+00
4.110220440881763755e-03,3.000000000000000000e+00,5.901575052116178277e+00
4.124248496993988128e-03,3.000000000000000000e+00,5.902946123590209204e+00
4.138276553106212501e-03,3.000000000000000000e+00,5.904298095872142937e+00
4.152304609218436873e-03,3.000000000000000000e+00,5.905631235016043590e+00
4.166332665330661246e-03,3.000000000000000000e+00,5.906945803369809234e+00
4.180360721442885619e-03,3.000000000000000000e+00,5.908242059626802600e+00
4.194388777555109991e-03,3.000000000000000000e+00,5.909520258876753473e+00
4.208416833667334364e-03,3.000000000000000000e+00,5.910780652655963863e+00
4.222444889779558737e-03,3.000000000000000000e+00,5.912023488996801746e+00
4.236472945891783977e-03,3.000000000000000000e+00,5.913249012476516242e+00
4.250501002004008350e-03,3.000000000000000000e+00,5.914457464265365338e+00
4.264529058116232722e-03,3.000000000000000000e+00,5.915649082174073925e+00
4.278557114228457095e-03,3.000000000000000000e+00,5.916824100700638134e+00
4.292585170340681468e-03,3.000000000000000000e+00,5.917982751076465320e+00
